ID,temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
0,5.7,75.6,3.8,4.3,0.0,2170-01-01,1,0.62,231.56,182.37,0
1,5.7,75.6,3.8,4.3,0.0,2170-01-01,3,0.94,248.2,903.2,1
2,5.7,75.6,3.8,4.3,0.0,2170-01-01,4,0.95,240.55,363.06,1
3,5.7,75.6,3.8,4.3,0.0,2170-01-01,2,0.39,159.1,473.93,0
4,5.7,75.6,3.8,4.3,0.0,2170-01-01,5,0.41,143.29,475.72,2
5,19.8,77.8,2.3,0.6,0.0,2171-01-01,1,0.66,276.74,605.97,1
6,19.8,77.8,2.3,0.6,0.0,2171-01-01,3,0.54,182.07,84.19,2
7,19.8,77.8,2.3,0.6,0.0,2171-01-01,4,0.74,177.3,161.78,0
8,19.8,77.8,2.3,0.6,0.0,2171-01-01,2,0.37,175.44,103.57,0
9,19.8,77.8,2.3,0.6,0.0,2171-01-01,5,0.5,127.11,560.36,0
10,29.7,48.7,4.0,5.8,0.0,2170-10-01,1,0.92,205.07,696.46,1
11,29.7,48.7,4.0,5.8,0.0,2170-10-01,3,0.84,299.35,331.73,3
12,29.7,48.7,4.0,5.8,0.0,2170-10-01,4,0.86,213.04,569.02,1
13,29.7,48.7,4.0,5.8,0.0,2170-10-01,2,0.54,147.88,321.36,2
14,29.7,48.7,4.0,5.8,0.0,2170-10-01,5,0.48,181.73,663.53,2
15,27.0,53.8,7.3,12.0,0.0,2171-10-01,1,0.5,220.17,588.71,0
16,27.0,53.8,7.3,12.0,0.0,2171-10-01,3,0.55,150.44,744.12,2
17,27.0,53.8,7.3,12.0,0.0,2171-10-01,4,0.55,210.08,720.42,0
18,27.0,53.8,7.3,12.0,0.0,2171-10-01,2,0.54,153.52,118.84,2
19,27.0,53.8,7.3,12.0,0.0,2171-10-01,5,0.34,148.62,866.04,2
20,14.9,62.6,6.7,12.0,0.0,2170-11-01,1,0.58,165.85,565.45,0
21,14.9,62.6,6.7,12.0,0.0,2170-11-01,3,0.56,279.08,119.28,0
22,14.9,62.6,6.7,12.0,0.0,2170-11-01,4,0.67,208.53,135.14,1
23,14.9,62.6,6.7,12.0,0.0,2170-11-01,2,0.43,108.14,926.01,2
24,14.9,62.6,6.7,12.0,0.0,2170-11-01,5,0.4,180.77,689.96,2
25,26.1,58.8,4.6,6.0,0.0,2171-11-01,1,0.69,257.71,553.35,1
26,26.1,58.8,4.6,6.0,0.0,2171-11-01,3,0.85,230.16,672.8,1
27,26.1,58.8,4.6,6.0,0.0,2171-11-01,4,0.71,216.28,663.13,1
28,26.1,58.8,4.6,6.0,0.0,2171-11-01,2,0.41,101.68,380.26,0
29,26.1,58.8,4.6,6.0,0.0,2171-11-01,5,0.54,127.68,501.04,0
30,17.8,70.7,8.3,14.6,0.1,2170-12-01,1,0.53,168.85,128.15,0
31,17.8,70.7,8.3,14.6,0.1,2170-12-01,3,0.69,224.49,876.05,3
32,17.8,70.7,8.3,14.6,0.1,2170-12-01,4,0.55,285.63,107.67,0
33,17.8,70.7,8.3,14.6,0.1,2170-12-01,2,0.62,114.33,605.97,2
34,17.8,70.7,8.3,14.6,0.1,2170-12-01,5,0.49,138.51,36.53,2
35,11.9,66.1,4.5,8.2,0.0,2171-12-01,1,0.8,161.33,321.45,0
36,11.9,66.1,4.5,8.2,0.0,2171-12-01,3,0.71,172.46,207.55,0
37,11.9,66.1,4.5,8.2,0.0,2171-12-01,4,0.82,179.58,795.85,0
38,11.9,66.1,4.5,8.2,0.0,2171-12-01,2,0.7,141.32,994.76,2
39,11.9,66.1,4.5,8.2,0.0,2171-12-01,5,0.33,123.07,76.93,2
